Pays,Iles,Latitude,Longitude,Mascarene petrel,Herald petrel,Barau’s petrel,Bulwer’s petrel,Jouanin's petrel,Wedge-tailed shearwater,Audubon’s shearwater,Persian shearwater,Red-tailed tropicbird ,white-tailed tropicbird,Masked booby,Red-footed booby,Brown booby,Great frigatebird,Lesser frigatebird,Caspian tern,Roseate tern,Black-naped tern,Bridled tern,Sooty tern,Crested tern,Brown noddy,Lesser noddy,White tern,White-cheeked tern,Sooty gull,Socotra Cormorant,Red-billed tropicbird,White-eyed gull,Saunder's tern
Madagascar,Nosy Manitra and other islets,-25.229,44.219,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,
Madagascar,Nosy Vé,-23.634,43.591,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
France,Europa,-22.353,40.376,,,,,,,1,,1,1,,1,,1,1,1,,,,1,,,,,,,,,,
Madagascar,islets off Morombé,-22.112,43.201,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
France,Réunion PI,-21.376,55.568,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,
France,Réunion ML,-21.103,55.481,1,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,,,,
Mauritius,Gabriel Island,-19.943,57.63,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
Mauritius,Gunner's Quoin,-19.943,57.62,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,
Mauritius,Pigeon Rock,-19.942,57.622,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,
Mauritius,Flat Island,-19.874,57.656,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,
Mauritius,Round Island,-19.855,57.781,,1,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,
Mauritius,Serpent Island,-19.838,57.789,,,,,,1,,,,,1,,,,,,,,,1,,1,1,,,,,,,
Mauritius,Rodirgues islets,-19.749,63.39,,,,,,1,,,,1,,,,,,,,,,1,,1,1,1,,,,,,
Madagascar,Nosy Barren,-18.561,43.896,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
Madagascar,ilôts off Toamasina,-18.422,49.384,,,,,,,,,,,,,,,,1,1,,,1,1,1,,,,,,,,
Mozambique,Coroa,-17.107,39.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Juan de Nova,-17.059,42.721,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
Mauritius,Saint Brandon,-16.574,59.704,,,,,,,,,,1,1,,,1,1,,1,,,1,,1,1,1,,,,,,
Mozambique,Puga-Puga,-16.573,39.803,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
France,Tromelin,-15.892,54.524,,,,,,,,,,,1,1,1,,,,,,,1,,1,,1,,,,,,
Madagascar,Nosy Bé and other islets,-13.359,48.255,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
Madagascar,Mitsio archipelago,-12.869,48.608,,,,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,
France,Mayotte,-12.815,45.212,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Comoros,Mohéli (M'Chaco and other Islets of the Marine national Park),-12.385,43.734,,,,,,,,,,1,1,,,,,,,,1,1,,1,,,,,,,,
Comoros,Mohéli (mainland),-12.3,43.66,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,East Coast of Antsiranana,-12.188,49.38,,,,,,,,,,1,,,,,,1,,,,1,1,,,,,,,,,
Madagascar,Cape Anorontany Archipelago,-12.184,49.017,,,,,,,,,,1,,,,,,1,1,,,1,1,,,,,,,,,
France,Ile du Lys (Glorieuses),-11.517,47.377,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,
Seychelles,Goelettes,-10.183,51.195,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Seychelles,Farquhar,-10.135,51.181,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,
Seychelles,Cosmoledo,-9.723,47.588,,,,,,,,,1,,1,1,1,1,,,,1,,1,1,,,,,,,,,
Seychelles,Aldabra,-9.409,46.302,,,,,,,1,,1,1,,1,,1,1,1,,1,,,1,1,,1,,,,,,
Tanzania,Latham,-6.861,39.933,,,,,,,,,,,1,,,,,,,,,1,1,1,,,,,,,,
Tanzania,Zanzibar south coast Chumbe Is,-6.273,39.175,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Seychelles,Desnoeufs,-6.233,53.044,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,
Seychelles,Boudeuse,-6.232,53.054,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
Seychelles,Marie Louise,-6.187,53.145,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
Tanzania,Mafia,-6.017,39.025,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Seychelles,Etoile,-5.883,53.034,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,
Seychelles,D'Arros,-5.422,53.34,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
BIOT,Chagos,-5.372,71.853,,,,,,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,,,1
Seychelles,African Banks,-5.12,53.319,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,
Kenya,Kisite Island,-4.669,39.374,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,
Seychelles,Mahe,-4.664,55.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,Fregate,-4.584,55.941,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
Seychelles,Recif,-4.582,55.751,,,,,,1,1,,,,,,,,,,,,1,1,,,1,,,,,,,
Seychelles,Cousine,-4.35,55.648,,,,,,1,1,,,1,,,,,,,,,1,,,1,1,1,,,,,,
Seychelles,Cousin,-4.329,55.664,,,,,,1,1,,,1,,,,,,,,,1,,,1,1,1,,,,,,
Seychelles,Aride,-4.212,55.664,,,,,,1,1,,1,1,,,,,,,1,,1,1,,1,1,1,,,,,,
Seychelles,Bird,-3.721,55.205,,,,,,1,,,,1,,,,,,,,,,1,,1,1,1,,,,,,
Kenya,Whale Island,-3.262,40.151,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Kenya,Kiunga Marine Nature Reserve,-1.961,41.314,,,,,,,,,,,,,,,,,1,,1,,,1,,,1,1,,,,
Somalia,Bajan Islands,-1.75,41.513,,,,,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,,
Somalia,Mogadisho Islets,1.488,44.487,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
Somalia,Raas Xaafun - Raas Gumbax,10.083,50.886,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
Somalia,Jasiira Maydh,11.226,47.244,,,,,,,,,,,1,,,,,,,,1,1,,1,,,,,1,1,,
Somalia,Jasiira Ceebaad - Jasiira Sacada Din,11.252,43.333,,,,,,,,,,,1,,1,,,,,,1,,1,,,,1,1,,,1,
Yemen,Socotra Group,12.726,53.247,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,1,,,